A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
George Emerson,Mrs. Honeychurch,805,806,hullo hullo miss honeychurch hullo,bow lucy better bow whoever is it i shall bow,Cecil; Freddy; Lucy; Mr. Beebe; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Lucy,806,807,bow lucy better bow whoever is it i shall bow,i will bow i will not shake hands with him that will be just the proper thing,Cecil; Freddy; George Emerson; Lucy; Mr. Beebe,F,major,,
Mrs. Honeychurch,Lucy,808,809,lucy is anything the matter with cecil,no i don t think so mother cecil s all right,Lucy,F,major,,
Lucy,Mrs. Honeychurch,809,810,no i don t think so mother cecil s all right,perhaps he s tired because otherwise because otherwise i cannot account for him,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,810,811,perhaps he s tired because otherwise because otherwise i cannot account for him,i do think mrs butterworth is rather tiresome if you mean that,Lucy,F,major,,
Lucy,Mrs. Honeychurch,811,812,i do think mrs butterworth is rather tiresome if you mean that,cecil has told you to think so you were devoted to her as a little girl and nothing will describe her goodness to you through the typhoid fever no it is just the same thing everywhere,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,812,813,cecil has told you to think so you were devoted to her as a little girl and nothing will describe her goodness to you through the typhoid fever no it is just the same thing everywhere,let me just put your bonnet away may i,Lucy,F,major,,
Lucy,Mrs. Honeychurch,813,814,let me just put your bonnet away may i,surely he could answer her civilly for one half hour,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,814,815,surely he could answer her civilly for one half hour,cecil has a very high standard for people it s part of his ideals it is really that that makes him sometimes seem,Lucy,F,major,,
Lucy,Mrs. Honeychurch,815,816,cecil has a very high standard for people it s part of his ideals it is really that that makes him sometimes seem,oh rubbish if high ideals make a young man rude the sooner he gets rid of them the better,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,816,817,oh rubbish if high ideals make a young man rude the sooner he gets rid of them the better,now mother i ve seen you cross with mrs butterworth yourself,Lucy,F,major,,
Lucy,Mrs. Honeychurch,817,818,now mother i ve seen you cross with mrs butterworth yourself,not in that way at times i could wring her neck but not in that way no it is the same with cecil all over,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,818,819,not in that way at times i could wring her neck but not in that way no it is the same with cecil all over,by the by i never told you i had a letter from charlotte while i was away in london,Lucy,F,major,,
Lucy,Mrs. Honeychurch,819,820,by the by i never told you i had a letter from charlotte while i was away in london,since cecil came back from london nothing appears to please him whenever i speak he winces i see him lucy it is useless to contradict me no doubt i am neither artistic nor literary nor intellectual nor musical but i cannot help the drawing room furniture your father bought it and we must put up with it will cecil kindly remember,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,820,821,since cecil came back from london nothing appears to please him whenever i speak he winces i see him lucy it is useless to contradict me no doubt i am neither artistic nor literary nor intellectual nor musical but i cannot help the drawing room furniture your father bought it and we must put up with it will cecil kindly remember,i i see what you mean and certainly cecil oughtn t to but he does not mean to be uncivil he once explained it is the things that upset him he is easily upset by ugly things he is not uncivil to people,Lucy,F,major,,
Lucy,Mrs. Honeychurch,821,822,i i see what you mean and certainly cecil oughtn t to but he does not mean to be uncivil he once explained it is the things that upset him he is easily upset by ugly things he is not uncivil to people,is it a thing or a person when freddy sings,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,822,823,is it a thing or a person when freddy sings,you can t expect a really musical person to enjoy comic songs as we do,Lucy,F,major,,
Lucy,Mrs. Honeychurch,823,824,you can t expect a really musical person to enjoy comic songs as we do,then why didn t he leave the room why sit wriggling and sneering and spoiling everyone s pleasure,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,824,825,then why didn t he leave the room why sit wriggling and sneering and spoiling everyone s pleasure,we mustn t be unjust to people,Lucy,F,major,,
Lucy,Mrs. Honeychurch,825,826,we mustn t be unjust to people,go and dress dear you ll be late,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,826,827,go and dress dear you ll be late,all right mother,Lucy,F,major,,
Lucy,Mrs. Honeychurch,827,828,all right mother,don t say and stop go,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,828,829,don t say and stop go,oh dear what shall i do what shall i do,Lucy,F,major,,
Freddy,Lucy,830,831,i say those are topping people,my dear baby how tiresome you ve been you have no business to take them bathing in the sacred lake it s much too public it was all right for you but most awkward for everyone else do be more careful you forget the place is growing half suburban,Lucy,M,intermediate,,
Lucy,Freddy,831,832,my dear baby how tiresome you ve been you have no business to take them bathing in the sacred lake it s much too public it was all right for you but most awkward for everyone else do be more careful you forget the place is growing half suburban,i say is anything on to morrow week,Freddy,,,M,intermediate
Freddy,Lucy,832,833,i say is anything on to morrow week,not that i know of,Lucy,M,intermediate,,
Lucy,Freddy,833,834,not that i know of,then i want to ask the emersons up to sunday tennis,Freddy,,,M,intermediate
Freddy,Lucy,834,835,then i want to ask the emersons up to sunday tennis,oh i wouldn t do that freddy i wouldn t do that with all this muddle,Lucy,M,intermediate,,
Lucy,Freddy,835,836,oh i wouldn t do that freddy i wouldn t do that with all this muddle,what s wrong with the court they won t mind a bump or two and i ve ordered new balls,Freddy,,,M,intermediate
Freddy,Lucy,836,837,what s wrong with the court they won t mind a bump or two and i ve ordered new balls,i meant it s better not i really mean it,Lucy,M,intermediate,,
Mrs. Honeychurch,Lucy,838,839,lucy what a noise you re making i have something to say to you did you say you had had a letter from charlotte,yes i really can t stop i must dress too,Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,839,840,yes i really can t stop i must dress too,how s charlotte,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,840,841,how s charlotte,all right,Lucy,F,major,,
Lucy,Mrs. Honeychurch,841,842,all right,lucy you ve a bad habit of hurrying away in the middle of one s sentences did charlotte mention her boiler,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,842,843,lucy you ve a bad habit of hurrying away in the middle of one s sentences did charlotte mention her boiler,her what,Lucy,F,major,,
Lucy,Mrs. Honeychurch,843,844,her what,don t you remember that her boiler was to be had out in october and her bath cistern cleaned out and all kinds of terrible to doings,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,844,845,don t you remember that her boiler was to be had out in october and her bath cistern cleaned out and all kinds of terrible to doings,i can t remember all charlotte s worries i shall have enough of my own now that you are not pleased with cecil,Lucy,F,major,,
Lucy,Mrs. Honeychurch,845,846,i can t remember all charlotte s worries i shall have enough of my own now that you are not pleased with cecil,come here old lady thank you for putting away my bonnet kiss me,Mrs. Honeychurch,,,F,major
Freddy,Lucy,847,848,lucy what s emerson like,i saw him in florence,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,,
Lucy,Freddy,848,849,i saw him in florence,is he the clever sort or is he a decent chap,Cecil; Freddy; Mrs. Honeychurch,,,M,intermediate
Freddy,Lucy,849,850,is he the clever sort or is he a decent chap,ask cecil it is cecil who brought him here,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,,
Lucy,Cecil,850,851,ask cecil it is cecil who brought him here,he is the clever sort like myself,Cecil; Freddy; Mrs. Honeychurch,,,,
Cecil,Mrs. Honeychurch,851,852,he is the clever sort like myself,how well did you know them at the bertolini,Freddy; Lucy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,852,853,how well did you know them at the bertolini,oh very slightly i mean charlotte knew them even less than i did,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,853,854,oh very slightly i mean charlotte knew them even less than i did,oh that reminds me you never told me what charlotte said in her letter,Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,854,855,oh that reminds me you never told me what charlotte said in her letter,one thing and another among other things that an awful friend of hers had been bicycling through summer street wondered if she d come up and see us and mercifully didn t,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,855,856,one thing and another among other things that an awful friend of hers had been bicycling through summer street wondered if she d come up and see us and mercifully didn t,lucy i do call the way you talk unkind,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,856,857,lucy i do call the way you talk unkind,she was a novelist,Cecil; Freddy; Lucy,F,major,,
Lucy,Freddy,857,858,she was a novelist,this year next year now never,Cecil; Freddy; Mrs. Honeychurch,,,M,intermediate
Freddy,Mrs. Honeychurch,858,859,this year next year now never,i have been thinking lucy of that letter of charlotte s how is she,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Lucy,859,860,i have been thinking lucy of that letter of charlotte s how is she,i tore the thing up,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,860,861,i tore the thing up,didn t she say how she was how does she sound cheerful,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,861,862,didn t she say how she was how does she sound cheerful,oh yes i suppose so no not very cheerful i suppose,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,862,863,oh yes i suppose so no not very cheerful i suppose,then depend upon it it is the boiler i know myself how water preys upon one s mind i would rather anything else even a misfortune with the meat,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Freddy,863,864,then depend upon it it is the boiler i know myself how water preys upon one s mind i would rather anything else even a misfortune with the meat,so would i,Cecil; Freddy; Lucy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,864,865,so would i,and i have been thinking surely we could squeeze charlotte in here next week and give her a nice holiday while plumbers at tunbridge wells finish i have not seen poor charlotte for so long,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Lucy,865,866,and i have been thinking surely we could squeeze charlotte in here next week and give her a nice holiday while plumbers at tunbridge wells finish i have not seen poor charlotte for so long,mother no it s impossible we can t have charlotte on the top of the other things we re squeezed to death as it is freddy s got a friend coming tuesday there s cecil and you ve promised to take in minnie beebe because of the diphtheria scare it simply can t be done,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,866,867,mother no it s impossible we can t have charlotte on the top of the other things we re squeezed to death as it is freddy s got a friend coming tuesday there s cecil and you ve promised to take in minnie beebe because of the diphtheria scare it simply can t be done,nonsense it can,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,867,868,nonsense it can,if minnie sleeps in the bath not otherwise,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,868,869,if minnie sleeps in the bath not otherwise,minnie can sleep with you,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,869,870,minnie can sleep with you,i won t have her,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,870,871,i won t have her,then if you re so selfish mr floyd must share a room with freddy,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Cecil,871,872,then if you re so selfish mr floyd must share a room with freddy,miss bartlett miss bartlett miss bartlett,Cecil; Freddy; Lucy,F,major,,
Cecil,Lucy,872,873,miss bartlett miss bartlett miss bartlett,it s impossible i don t want to make difficulties but it really isn t fair on the maids to fill up the house so,Freddy; Lucy; Mrs. Honeychurch,,,,
Lucy,Mrs. Honeychurch,873,874,it s impossible i don t want to make difficulties but it really isn t fair on the maids to fill up the house so,the truth is dear you don t like charlotte,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,874,875,the truth is dear you don t like charlotte,no i don t and no more does cecil she gets on our nerves you haven t seen her lately and don t realize how tiresome she can be though so good so please mother don t worry us this last summer but spoil us by not asking her to come,Cecil; Freddy; Lucy,F,major,,
Lucy,Cecil,875,876,no i don t and no more does cecil she gets on our nerves you haven t seen her lately and don t realize how tiresome she can be though so good so please mother don t worry us this last summer but spoil us by not asking her to come,hear hear,Cecil; Freddy; Mrs. Honeychurch,,,,
Cecil,Mrs. Honeychurch,876,877,hear hear,this isn t very kind of you two you have each other and all these woods to walk in so full of beautiful things and poor charlotte has only the water turned off and plumbers you are young dears and however clever young people are and however many books they read they will never guess what it feels like to grow old,Freddy; Lucy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Freddy,877,878,this isn t very kind of you two you have each other and all these woods to walk in so full of beautiful things and poor charlotte has only the water turned off and plumbers you are young dears and however clever young people are and however many books they read they will never guess what it feels like to grow old,i must say cousin charlotte was very kind to me that year i called on my bike she thanked me for coming till i felt like such a fool and fussed round no end to get an egg boiled for my tea just right,Cecil; Freddy; Lucy,F,major,M,intermediate
Freddy,Mrs. Honeychurch,878,879,i must say cousin charlotte was very kind to me that year i called on my bike she thanked me for coming till i felt like such a fool and fussed round no end to get an egg boiled for my tea just right,i know dear she is kind to everyone and yet lucy makes this difficulty when we try to give her some little return,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Lucy,879,880,i know dear she is kind to everyone and yet lucy makes this difficulty when we try to give her some little return,i can t help it mother i don t like charlotte i admit it s horrid of me,Cecil; Freddy; Lucy,F,major,,
Lucy,Mrs. Honeychurch,880,881,i can t help it mother i don t like charlotte i admit it s horrid of me,from your own account you told her as much,Cecil; Freddy; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,881,882,from your own account you told her as much,well she would leave florence so stupidly she flurried,Cecil; Freddy; Lucy,F,major,,
Lucy,Cecil,882,883,well she would leave florence so stupidly she flurried,i suppose miss bartlett must come since she boils eggs so well,Cecil; Freddy; Mrs. Honeychurch,,,,
Cecil,Freddy,883,884,i suppose miss bartlett must come since she boils eggs so well,i didn t mean the egg was well boiled because in point of fact she forgot to take it off and as a matter of fact i don t care for eggs i only meant how jolly kind she seemed,Freddy; Lucy; Mrs. Honeychurch,,,M,intermediate
Freddy,Cecil,884,885,i didn t mean the egg was well boiled because in point of fact she forgot to take it off and as a matter of fact i don t care for eggs i only meant how jolly kind she seemed,may me and lucy get down from our chairs we don t want no dessert,Cecil; Lucy; Mrs. Honeychurch,M,intermediate,,
Mr. Beebe,Lucy,886,887,a nice fellow he will work off his crudities in time i rather mistrust young men who slip into life gracefully,he seems in better spirits he laughs more,Cecil; Lucy,M,major,,
Lucy,Mr. Beebe,887,888,he seems in better spirits he laughs more,yes he is waking up,Cecil; Mr. Beebe,,,M,major
Miss Bartlett,Freddy,889,890,i shall never forgive myself i have upset everything bursting in on young people but i insist on paying for my cab up grant that at any rate,just what i ve been trying to convince cousin charlotte of lucy for the last half hour,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,M,intermediate
Freddy,Miss Bartlett,890,891,just what i ve been trying to convince cousin charlotte of lucy for the last half hour,i do not feel myself an ordinary visitor,Cecil; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd,M,intermediate,F,major
Miss Bartlett,Freddy,891,892,i do not feel myself an ordinary visitor,all right if you d really rather five shillings and i gave a bob to the driver,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,M,intermediate
Freddy,Miss Bartlett,892,893,all right if you d really rather five shillings and i gave a bob to the driver,but who am i to give the sovereign to,Cecil; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd,M,intermediate,F,major
Miss Bartlett,Lucy,893,894,but who am i to give the sovereign to,let s leave it all till mother comes back,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,
Lucy,Miss Bartlett,894,895,let s leave it all till mother comes back,no dear your mother may take quite a long drive now that she is not hampered with me we all have our little foibles and mine is the prompt settling of accounts please please i know i am a sad spoil sport but it would make me wretched i should practically be robbing the one who lost,Cecil; Freddy; Minnie Beebe; Miss Bartlett; Mr. Floyd,,,F,major
Miss Bartlett,Cecil,895,896,no dear your mother may take quite a long drive now that she is not hampered with me we all have our little foibles and mine is the prompt settling of accounts please please i know i am a sad spoil sport but it would make me wretched i should practically be robbing the one who lost,freddy owes me fifteen shillings so it will work out right if you give the pound to me,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,
Cecil,Miss Bartlett,896,897,freddy owes me fifteen shillings so it will work out right if you give the pound to me,fifteen shillings how is that mr vyse,Freddy; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd,,,F,major
Miss Bartlett,Cecil,897,898,fifteen shillings how is that mr vyse,because don t you see freddy paid your cab give me the pound and we shall avoid this deplorable gambling,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,
Cecil,Minnie Beebe,898,899,because don t you see freddy paid your cab give me the pound and we shall avoid this deplorable gambling,but i don t see that i don t see why mr vyse is to have the quid but i don t see no thank you i m done i don t see why freddy don t poke me miss honeychurch your brother s hurting me ow what about mr floyd s ten shillings ow no i don t see and i never shall see why miss what s her name shouldn t pay that bob for the driver,Freddy; Lucy; Minnie Beebe; Miss Bartlett; Mr. Floyd,,,F,minor
Minnie Beebe,Miss Bartlett,899,900,but i don t see that i don t see why mr vyse is to have the quid but i don t see no thank you i m done i don t see why freddy don t poke me miss honeychurch your brother s hurting me ow what about mr floyd s ten shillings ow no i don t see and i never shall see why miss what s her name shouldn t pay that bob for the driver,i had forgotten the driver thank you dear for reminding me a shilling was it can any one give me change for half a crown,Cecil; Freddy; Lucy; Miss Bartlett; Mr. Floyd,F,minor,F,major
Miss Bartlett,Lucy,900,901,i had forgotten the driver thank you dear for reminding me a shilling was it can any one give me change for half a crown,i ll get it cecil give me that sovereign no give me up that sovereign i ll get euphemia to change it and we ll start the whole thing again from the beginning,Cecil; Freddy; Lucy; Minnie Beebe; Mr. Floyd,F,major,,
Lucy,Miss Bartlett,901,902,i ll get it cecil give me that sovereign no give me up that sovereign i ll get euphemia to change it and we ll start the whole thing again from the beginning,lucy lucy what a nuisance i am,Cecil; Freddy; Minnie Beebe; Miss Bartlett; Mr. Floyd,,,F,major
Miss Bartlett,Lucy,903,904,have you told him about him yet,no i haven t let me see a sovereign s worth of silver no i haven t told cecil or any one i promised you i shouldn t here is your money all shillings except two half crowns would you count it you can settle your debt nicely now,Lucy,F,major,,
Lucy,Miss Bartlett,904,905,no i haven t let me see a sovereign s worth of silver no i haven t told cecil or any one i promised you i shouldn t here is your money all shillings except two half crowns would you count it you can settle your debt nicely now,how dreadful how more than dreadful if mr vyse should come to hear of it from some other source,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,905,906,how dreadful how more than dreadful if mr vyse should come to hear of it from some other source,oh no charlotte george emerson is all right and what other source is there,Lucy,F,major,,
Lucy,Miss Bartlett,906,907,oh no charlotte george emerson is all right and what other source is there,for instance the driver i saw him looking through the bushes at you remember he had a violet between his teeth,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,907,908,for instance the driver i saw him looking through the bushes at you remember he had a violet between his teeth,we shall get the silly affair on our nerves if we aren t careful how could a florentine cab driver ever get hold of cecil,Lucy,F,major,,
Lucy,Miss Bartlett,908,909,we shall get the silly affair on our nerves if we aren t careful how could a florentine cab driver ever get hold of cecil,we must think of every possibility,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,909,910,we must think of every possibility,oh it s all right,Lucy,F,major,,
Lucy,Miss Bartlett,910,911,oh it s all right,or perhaps old mr emerson knows in fact he is certain to know,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,911,912,or perhaps old mr emerson knows in fact he is certain to know,i don t care if he does i was grateful to you for your letter but even if the news does get round i think i can trust cecil to laugh at it,Lucy,F,major,,
Lucy,Miss Bartlett,912,913,i don t care if he does i was grateful to you for your letter but even if the news does get round i think i can trust cecil to laugh at it,to contradict it,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,913,914,to contradict it,no to laugh at it,Lucy,F,major,,
Lucy,Miss Bartlett,914,915,no to laugh at it,very well dear you know best perhaps gentlemen are different to what they were when i was young ladies are certainly different,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,915,916,very well dear you know best perhaps gentlemen are different to what they were when i was young ladies are certainly different,now charlotte,Lucy,F,major,,
Lucy,Miss Bartlett,916,917,now charlotte,i am no match for you in conversation dearest i blush when i think how i interfered at florence and you so well able to look after yourself and so much cleverer in all ways than i am you will never forgive me,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,917,918,i am no match for you in conversation dearest i blush when i think how i interfered at florence and you so well able to look after yourself and so much cleverer in all ways than i am you will never forgive me,shall we go out then they will smash all the china if we don t,Lucy,F,major,,
Lucy,Miss Bartlett,918,919,shall we go out then they will smash all the china if we don t,dear one moment we may not have this chance for a chat again have you seen the young one yet,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,919,920,dear one moment we may not have this chance for a chat again have you seen the young one yet,yes i have,Lucy,F,major,,
Lucy,Miss Bartlett,920,921,yes i have,what happened,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,921,922,what happened,we met at the rectory,Lucy,F,major,,
Lucy,Miss Bartlett,922,923,we met at the rectory,what line is he taking up,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,923,924,what line is he taking up,no line he talked about italy like any other person it is really all right what advantage would he get from being a cad to put it bluntly i do wish i could make you see it my way he really won t be any nuisance charlotte,Lucy,F,major,,
Lucy,Miss Bartlett,924,925,no line he talked about italy like any other person it is really all right what advantage would he get from being a cad to put it bluntly i do wish i could make you see it my way he really won t be any nuisance charlotte,once a cad always a cad that is my poor opinion,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,925,926,once a cad always a cad that is my poor opinion,cecil said one day and i thought it so profound that there are two kinds of cads the conscious and the subconscious,Lucy,F,major,,
Lucy,Miss Bartlett,926,927,cecil said one day and i thought it so profound that there are two kinds of cads the conscious and the subconscious,once a cad always a cad,Miss Bartlett,,,F,major
Miss Bartlett,Lucy,927,928,once a cad always a cad,what i mean by subconscious is that emerson lost his head i fell into all those violets and he was silly and surprised i don t think we ought to blame him very much it makes such a difference when you see a person with beautiful things behind him unexpectedly it really does it makes an enormous difference and he lost his head he doesn t admire me or any of that nonsense one straw freddy rather likes him and has asked him up here on sunday so you can judge for yourself he has improved he doesn t always look as if he s going to burst into tears he is a clerk in the general manager s office at one of the big railways not a porter and runs down to his father for week ends papa was to do with journalism but is rheumatic and has retired there now for the garden suppose we don t talk about this silly italian business any more we want you to have a nice restful visit at windy corner with no worriting,Lucy,F,major,,
Minnie Beebe,Mrs. Honeychurch,929,930,well i don t blame them need she go,lucy lucy what s that book who s been taking a book out of the shelf and leaving it about to spoil,Lucy; Mrs. Honeychurch,F,minor,F,major
Mrs. Honeychurch,Lucy,930,931,lucy lucy what s that book who s been taking a book out of the shelf and leaving it about to spoil,it s only the library book that cecil s been reading,Lucy,F,major,,
Lucy,Mrs. Honeychurch,931,932,it s only the library book that cecil s been reading,but pick it up and don t stand idling there like a flamingo,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Minnie Beebe,935,936,it s a special collection i forget what for i do beg no vulgar clinking in the plate with halfpennies see that minnie has a nice bright sixpence where is the child minnie that book s all warped gracious how plain you look put it under the atlas to press minnie,oh mrs honeychurch,Lucy; Minnie Beebe,F,major,F,minor
Minnie Beebe,Mrs. Honeychurch,936,937,oh mrs honeychurch,minnie don t be late here comes the horse where s charlotte run up and hurry her why is she so long she had nothing to do she never brings anything but blouses poor charlotte how i do detest blouses minnie,Lucy; Mrs. Honeychurch,F,minor,F,major
Miss Bartlett,Mrs. Honeychurch,938,939,dear marian i am very sorry but i have no small change nothing but sovereigns and half crowns could any one give me,yes easily jump in gracious me how smart you look what a lovely frock you put us all to shame,Lucy; Minnie Beebe; Mrs. Honeychurch,F,major,F,major
Mrs. Honeychurch,Miss Bartlett,939,940,yes easily jump in gracious me how smart you look what a lovely frock you put us all to shame,if i did not wear my best rags and tatters now when should i wear them,Lucy; Minnie Beebe; Miss Bartlett,F,major,F,major
Mr. Vyse,Mrs. Honeychurch,941,942,good bye be good,introduce me unless the young man considers that he knows me already,Lucy; Minnie Beebe; Miss Bartlett; Mrs. Honeychurch,M,intermediate,F,major
Mr. Emerson,Mrs. Honeychurch,943,944,very much we find though that the miss alans were coming and that we have turned them out women mind such a thing i am very much upset about it,i believe that there was some misunderstanding,George Emerson; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,George Emerson,944,945,i believe that there was some misunderstanding,our landlord was told that we should be a different type of person he thought we should be artistic he is disappointed,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
George Emerson,Lucy,946,947,and i wonder whether we ought to write to the miss alans and offer to give it up what do you think,oh stop now you have come,Lucy; Mrs. Honeychurch,M,intermediate,,
Lucy,Mr. Emerson,947,948,oh stop now you have come,so george says he says that the miss alans must go to the wall yet it does seem so unkind,George Emerson; Mr. Emerson; Mrs. Honeychurch,,,M,intermediate
Mr. Emerson,George Emerson,948,949,so george says he says that the miss alans must go to the wall yet it does seem so unkind,there is only a certain amount of kindness in the world,George Emerson; Lucy; Mrs. Honeychurch,M,intermediate,M,intermediate
George Emerson,Mrs. Honeychurch,949,950,there is only a certain amount of kindness in the world,yes that s exactly what i say why all this twiddling and twaddling over two miss alans,Lucy; Mr. Emerson; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,George Emerson,950,951,yes that s exactly what i say why all this twiddling and twaddling over two miss alans,there is a certain amount of kindness just as there is a certain amount of light we cast a shadow on something wherever we stand and it is no good moving from place to place to save things because the shadow always follows choose a place where you won t do harm yes choose a place where you won t do very much harm and stand in it for all you are worth facing the sunshine,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
George Emerson,Mrs. Honeychurch,951,952,there is a certain amount of kindness just as there is a certain amount of light we cast a shadow on something wherever we stand and it is no good moving from place to place to save things because the shadow always follows choose a place where you won t do harm yes choose a place where you won t do very much harm and stand in it for all you are worth facing the sunshine,oh mr emerson i see you re clever,Lucy; Mr. Emerson; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,George Emerson,952,953,oh mr emerson i see you re clever,eh,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
George Emerson,Mrs. Honeychurch,953,954,eh,i see you re going to be clever i hope you didn t go behaving like that to poor freddy,Lucy; Mr. Emerson; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,George Emerson,954,955,i see you re going to be clever i hope you didn t go behaving like that to poor freddy,no i didn t he behaved that way to me it is his philosophy only he starts life with it and i have tried the note of interrogation first,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
George Emerson,Mrs. Honeychurch,955,956,no i didn t he behaved that way to me it is his philosophy only he starts life with it and i have tried the note of interrogation first,what do you mean no never mind what you mean don t explain he looks forward to seeing you this afternoon do you play tennis do you mind tennis on sunday,Lucy; Mr. Emerson; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Mr. Emerson,956,957,what do you mean no never mind what you mean don t explain he looks forward to seeing you this afternoon do you play tennis do you mind tennis on sunday,george mind tennis on sunday george after his education distinguish between sunday,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
Mr. Emerson,Mrs. Honeychurch,957,958,george mind tennis on sunday george after his education distinguish between sunday,very well george doesn t mind tennis on sunday no more do i that s settled mr emerson if you could come with your son we should be so pleased and then he wants to give up his house to the miss alans,George Emerson; Lucy; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,George Emerson,958,959,very well george doesn t mind tennis on sunday no more do i that s settled mr emerson if you could come with your son we should be so pleased and then he wants to give up his house to the miss alans,i know,George Emerson; Lucy; Mr. Emerson,F,major,M,intermediate
George Emerson,Mrs. Honeychurch,959,960,i know,you know our cousin miss bartlett you met her with my daughter in florence,Lucy; Mr. Emerson; Mrs. Honeychurch,M,intermediate,F,major
Mrs. Honeychurch,Mr. Emerson,960,961,you know our cousin miss bartlett you met her with my daughter in florence,yes indeed,George Emerson; Lucy; Miss Bartlett; Mr. Emerson,F,major,M,intermediate
